n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
50,1.4656144306651635,15.909090909090908,220,887,ETS,qwen,maryland,P4,1067841243,1,[2]
200,2.705749718151071,22.727272727272727,220,887,ETS,qwen,maryland,P4,1067841243,1,[2]
30,1.7051153460381143,17.543859649122805,228,997,ETS,qwen,maryland,P5,959183449,1,[2]
50,1.7051153460381143,17.543859649122805,228,997,ETS,qwen,maryland,P5,959183449,1,[2]
200,7.12136409227683,36.84210526315789,228,997,ETS,qwen,maryland,P5,959183449,1,[2]
30,6.318956870611836,37.17948717948718,234,997,ETS,qwen,maryland,P5,1457248422,1,[2]
50,6.318956870611836,37.17948717948718,234,997,ETS,qwen,maryland,P5,1457248422,1,[2]
200,6.318956870611836,35.8974358974359,234,997,ETS,qwen,maryland,P5,1457248422,1,[2]
30,0.10030090270812438,5.603448275862069,232,997,ETS,qwen,maryland,P5,642571064,1,[2]
50,3.6108324974924777,28.879310344827587,232,997,ETS,qwen,maryland,P5,642571064,1,[2]
200,3.6108324974924777,28.879310344827587,232,997,ETS,qwen,maryland,P5,642571064,1,[2]
30,0.802407221664995,13.135593220338984,236,997,ETS,qwen,maryland,P5,3609844797,1,[2]
50,2.908726178535607,24.576271186440678,236,997,ETS,qwen,maryland,P5,3609844797,1,[2]
200,2.908726178535607,25.423728813559322,236,997,ETS,qwen,maryland,P5,3609844797,1,[2]
30,6.619859578736209,36.81818181818181,220,997,ETS,qwen,maryland,P5,1067841243,1,[2]
50,6.619859578736209,36.81818181818181,220,997,ETS,qwen,maryland,P5,1067841243,1,[2]
200,5.1153460381143425,33.18181818181819,220,997,ETS,qwen,maryland,P5,1067841243,1,[2]
30,0.40650406504065045,3.076923076923077,130,492,ETS,qwen,maryland,P6,959183449,1,[2]
50,2.0325203252032518,19.230769230769234,130,492,ETS,qwen,maryland,P6,959183449,1,[2]
200,4.2682926829268295,32.30769230769231,130,492,ETS,qwen,maryland,P6,959183449,1,[2]
30,5.487804878048781,38.52459016393443,122,492,ETS,qwen,maryland,P6,1457248422,1,[2]
50,5.487804878048781,38.52459016393443,122,492,ETS,qwen,maryland,P6,1457248422,1,[2]
200,4.2682926829268295,34.42622950819672,122,492,ETS,qwen,maryland,P6,1457248422,1,[2]
30,2.8455284552845526,21.25984251968504,127,492,ETS,qwen,maryland,P6,642571064,1,[2]
50,6.504065040650407,36.22047244094488,127,492,ETS,qwen,maryland,P6,642571064,1,[2]
200,6.504065040650407,37.00787401574803,127,492,ETS,qwen,maryland,P6,642571064,1,[2]
30,10.569105691056912,44.800000000000004,125,492,ETS,qwen,maryland,P6,3609844797,1,[2]
50,10.569105691056912,44.800000000000004,125,492,ETS,qwen,maryland,P6,3609844797,1,[2]
200,5.487804878048781,38.4,125,492,ETS,qwen,maryland,P6,3609844797,1,[2]
30,0.40650406504065045,5.737704918032787,122,492,ETS,qwen,maryland,P6,1067841243,1,[2]
50,1.0162601626016259,18.0327868852459,122,492,ETS,qwen,maryland,P6,1067841243,1,[2]
200,3.4552845528455287,27.86885245901639,122,492,ETS,qwen,maryland,P6,1067841243,1,[2]
30,1.0223048327137547,8.73015873015873,252,1076,ETS,qwen,maryland,P7,959183449,1,[2]
50,1.858736059479554,12.3015873015873,252,1076,ETS,qwen,maryland,P7,959183449,1,[2]
200,5.762081784386617,30.555555555555557,252,1076,ETS,qwen,maryland,P7,959183449,1,[2]
30,0.0,0.40816326530612246,245,1076,ETS,qwen,maryland,P7,1457248422,1,[2]
50,2.8810408921933086,21.224489795918366,245,1076,ETS,qwen,maryland,P7,1457248422,1,[2]
200,5.204460966542751,32.6530612244898,245,1076,ETS,qwen,maryland,P7,1457248422,1,[2]
30,5.5762081784386615,32.69230769230769,260,1076,ETS,qwen,maryland,P7,642571064,1,[2]
50,4.646840148698884,28.076923076923077,260,1076,ETS,qwen,maryland,P7,642571064,1,[2]
200,4.275092936802974,26.923076923076923,260,1076,ETS,qwen,maryland,P7,642571064,1,[2]
30,5.390334572490707,32.53012048192771,249,1076,ETS,qwen,maryland,P7,3609844797,1,[2]
50,3.4386617100371746,21.686746987951807,249,1076,ETS,qwen,maryland,P7,3609844797,1,[2]
200,5.390334572490707,32.53012048192771,249,1076,ETS,qwen,maryland,P7,3609844797,1,[2]
30,2.973977695167286,21.39917695473251,243,1076,ETS,qwen,maryland,P7,1067841243,1,[2]
50,3.3457249070631967,22.633744855967077,243,1076,ETS,qwen,maryland,P7,1067841243,1,[2]
200,2.0446096654275094,17.28395061728395,243,1076,ETS,qwen,maryland,P7,1067841243,1,[2]
30,4.045155221072436,30.097087378640776,206,1063,ETS,qwen,maryland,P8,959183449,1,[2]
50,4.327375352775165,30.582524271844658,206,1063,ETS,qwen,maryland,P8,959183449,1,[2]
200,4.327375352775165,30.582524271844658,206,1063,ETS,qwen,maryland,P8,959183449,1,[2]
30,2.539981185324553,23.645320197044335,203,1063,ETS,qwen,maryland,P8,1457248422,1,[2]
50,2.634054562558796,23.645320197044335,203,1063,ETS,qwen,maryland,P8,1457248422,1,[2]
200,3.762935089369708,31.527093596059114,203,1063,ETS,qwen,maryland,P8,1457248422,1,[2]
30,2.351834430856068,23.67149758454106,207,1063,ETS,qwen,maryland,P8,642571064,1,[2]
50,2.351834430856068,23.67149758454106,207,1063,ETS,qwen,maryland,P8,642571064,1,[2]
200,5.9266227657572905,32.850241545893724,207,1063,ETS,qwen,maryland,P8,642571064,1,[2]
30,0.0,3.255813953488372,215,1063,ETS,qwen,maryland,P8,3609844797,1,[2]
50,0.5644402634054563,10.232558139534884,215,1063,ETS,qwen,maryland,P8,3609844797,1,[2]
200,5.362182502351835,33.02325581395349,215,1063,ETS,qwen,maryland,P8,3609844797,1,[2]
30,1.881467544684854,18.81188118811881,202,1063,ETS,qwen,maryland,P8,1067841243,1,[2]
50,0.658513640639699,10.396039603960396,202,1063,ETS,qwen,maryland,P8,1067841243,1,[2]
200,2.351834430856068,24.257425742574256,202,1063,ETS,qwen,maryland,P8,1067841243,1,[2]
30,1.7578125,39.47730398899587,727,1024,ETS,qwen,maryland,P1,959183449,1,[3]
50,4.00390625,56.808803301237965,727,1024,ETS,qwen,maryland,P1,959183449,1,[3]
200,7.71484375,65.33700137551581,727,1024,ETS,qwen,maryland,P1,959183449,1,[3]
30,2.734375,48.91008174386921,734,1024,ETS,qwen,maryland,P1,1457248422,1,[3]
50,2.734375,48.91008174386921,734,1024,ETS,qwen,maryland,P1,1457248422,1,[3]
200,7.03125,64.03269754768392,734,1024,ETS,qwen,maryland,P1,1457248422,1,[3]
30,4.4921875,57.22222222222222,720,1024,ETS,qwen,maryland,P1,642571064,1,[3]
50,4.4921875,57.22222222222222,720,1024,ETS,qwen,maryland,P1,642571064,1,[3]
200,4.4921875,57.22222222222222,720,1024,ETS,qwen,maryland,P1,642571064,1,[3]
30,10.3515625,71.54471544715447,738,1024,ETS,qwen,maryland,P1,3609844797,1,[3]
50,11.9140625,75.74525745257452,738,1024,ETS,qwen,maryland,P1,3609844797,1,[3]
200,7.2265625,64.09214092140921,738,1024,ETS,qwen,maryland,P1,3609844797,1,[3]
30,1.85546875,46.63978494623656,744,1024,ETS,qwen,maryland,P1,1067841243,1,[3]
50,2.44140625,51.075268817204304,744,1024,ETS,qwen,maryland,P1,1067841243,1,[3]
200,2.44140625,50.403225806451616,744,1024,ETS,qwen,maryland,P1,1067841243,1,[3]
30,4.054054054054054,56.34005763688761,694,962,ETS,qwen,maryland,P2,959183449,1,[3]
50,1.5592515592515594,42.79538904899135,694,962,ETS,qwen,maryland,P2,959183449,1,[3]
200,4.781704781704782,60.6628242074928,694,962,ETS,qwen,maryland,P2,959183449,1,[3]
30,2.2869022869022873,48.306332842415316,679,962,ETS,qwen,maryland,P2,1457248422,1,[3]
50,2.2869022869022873,48.306332842415316,679,962,ETS,qwen,maryland,P2,1457248422,1,[3]
200,2.494802494802495,52.57731958762887,679,962,ETS,qwen,maryland,P2,1457248422,1,[3]
30,0.2079002079002079,18.94273127753304,681,962,ETS,qwen,maryland,P2,642571064,1,[3]
50,2.494802494802495,51.68869309838473,681,962,ETS,qwen,maryland,P2,642571064,1,[3]
200,4.677754677754678,60.05873715124817,681,962,ETS,qwen,maryland,P2,642571064,1,[3]
30,1.2474012474012475,37.257824143070046,671,962,ETS,qwen,maryland,P2,3609844797,1,[3]
50,2.2869022869022873,49.6274217585693,671,962,ETS,qwen,maryland,P2,3609844797,1,[3]
200,5.093555093555094,61.698956780924,671,962,ETS,qwen,maryland,P2,3609844797,1,[3]
30,2.390852390852391,48.5207100591716,676,962,ETS,qwen,maryland,P2,1067841243,1,[3]
50,3.8461538461538463,55.917159763313606,676,962,ETS,qwen,maryland,P2,1067841243,1,[3]
200,4.261954261954262,58.57988165680473,676,962,ETS,qwen,maryland,P2,1067841243,1,[3]
30,2.1711366538952745,45.0354609929078,564,783,ETS,qwen,maryland,P3,959183449,1,[3]
50,2.1711366538952745,45.0354609929078,564,783,ETS,qwen,maryland,P3,959183449,1,[3]
200,6.257982120051085,64.8936170212766,564,783,ETS,qwen,maryland,P3,959183449,1,[3]
30,0.5108556832694764,31.597845601436266,557,783,ETS,qwen,maryland,P3,1457248422,1,[3]
50,3.4482758620689653,57.809694793536806,557,783,ETS,qwen,maryland,P3,1457248422,1,[3]
200,5.491698595146871,63.016157989228006,557,783,ETS,qwen,maryland,P3,1457248422,1,[3]
30,0.1277139208173691,28.700361010830328,554,783,ETS,qwen,maryland,P3,642571064,1,[3]
50,1.7879948914431671,43.501805054151625,554,783,ETS,qwen,maryland,P3,642571064,1,[3]
200,5.108556832694764,61.73285198555957,554,783,ETS,qwen,maryland,P3,642571064,1,[3]
30,0.38314176245210724,31.046931407942242,554,783,ETS,qwen,maryland,P3,3609844797,1,[3]
50,4.597701149425287,61.91335740072203,554,783,ETS,qwen,maryland,P3,3609844797,1,[3]
200,4.342273307790549,61.371841155234655,554,783,ETS,qwen,maryland,P3,3609844797,1,[3]
30,5.108556832694764,63.1858407079646,565,783,ETS,qwen,maryland,P3,1067841243,1,[3]
50,5.108556832694764,63.1858407079646,565,783,ETS,qwen,maryland,P3,1067841243,1,[3]
200,6.002554278416347,66.3716814159292,565,783,ETS,qwen,maryland,P3,1067841243,1,[3]
30,2.029312288613303,45.744680851063826,658,887,ETS,qwen,maryland,P4,959183449,1,[3]
50,5.862457722660654,68.38905775075987,658,887,ETS,qwen,maryland,P4,959183449,1,[3]
200,5.0732807215332585,65.04559270516718,658,887,ETS,qwen,maryland,P4,959183449,1,[3]
30,0.0,13.692307692307693,650,887,ETS,qwen,maryland,P4,1457248422,1,[3]
50,2.593010146561443,51.53846153846153,650,887,ETS,qwen,maryland,P4,1457248422,1,[3]
200,4.735062006764374,64.15384615384615,650,887,ETS,qwen,maryland,P4,1457248422,1,[3]
30,7.1025930101465615,73.34360554699538,649,887,ETS,qwen,maryland,P4,642571064,1,[3]
50,7.1025930101465615,73.34360554699538,649,887,ETS,qwen,maryland,P4,642571064,1,[3]
200,3.8331454340473505,63.17411402157165,649,887,ETS,qwen,maryland,P4,642571064,1,[3]
30,5.5242390078917705,66.76970633693972,647,887,ETS,qwen,maryland,P4,3609844797,1,[3]
50,4.6223224351747465,63.52395672333848,647,887,ETS,qwen,maryland,P4,3609844797,1,[3]
200,5.5242390078917705,66.76970633693972,647,887,ETS,qwen,maryland,P4,3609844797,1,[3]
30,5.0732807215332585,65.43778801843318,651,887,ETS,qwen,maryland,P4,1067841243,1,[3]
50,1.4656144306651635,39.784946236559136,651,887,ETS,qwen,maryland,P4,1067841243,1,[3]
200,2.705749718151071,54.99231950844854,651,887,ETS,qwen,maryland,P4,1067841243,1,[3]
