n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
200,4.284103720405862,43.01075268817204,186,887,ETS,qwen,openai,P4,1067841243,1,[2]
30,1.2036108324974923,23.618090452261306,199,997,ETS,qwen,openai,P5,959183449,1,[2]
50,2.908726178535607,31.65829145728643,199,997,ETS,qwen,openai,P5,959183449,1,[2]
200,4.212637913741224,41.70854271356784,199,997,ETS,qwen,openai,P5,959183449,1,[2]
30,4.613841524573721,42.926829268292686,205,997,ETS,qwen,openai,P5,1457248422,1,[2]
50,6.41925777331996,49.26829268292683,205,997,ETS,qwen,openai,P5,1457248422,1,[2]
200,6.41925777331996,49.26829268292683,205,997,ETS,qwen,openai,P5,1457248422,1,[2]
30,3.711133400200602,37.67441860465116,215,997,ETS,qwen,openai,P5,642571064,1,[2]
50,3.711133400200602,37.67441860465116,215,997,ETS,qwen,openai,P5,642571064,1,[2]
200,3.8114343029087263,39.06976744186046,215,997,ETS,qwen,openai,P5,642571064,1,[2]
30,5.817452357071214,43.51851851851852,216,997,ETS,qwen,openai,P5,3609844797,1,[2]
50,0.802407221664995,17.12962962962963,216,997,ETS,qwen,openai,P5,3609844797,1,[2]
200,5.516549648946841,43.51851851851852,216,997,ETS,qwen,openai,P5,3609844797,1,[2]
30,1.2036108324974923,25.233644859813083,214,997,ETS,qwen,openai,P5,1067841243,1,[2]
50,1.8054162487462388,29.906542056074763,214,997,ETS,qwen,openai,P5,1067841243,1,[2]
200,2.8084252758274824,33.64485981308411,214,997,ETS,qwen,openai,P5,1067841243,1,[2]
30,2.4390243902439024,27.43362831858407,113,492,ETS,qwen,openai,P6,959183449,1,[2]
50,2.8455284552845526,28.31858407079646,113,492,ETS,qwen,openai,P6,959183449,1,[2]
200,3.4552845528455287,33.6283185840708,113,492,ETS,qwen,openai,P6,959183449,1,[2]
30,4.878048780487805,35.41666666666667,96,492,ETS,qwen,openai,P6,1457248422,1,[2]
50,3.2520325203252036,31.25,96,492,ETS,qwen,openai,P6,1457248422,1,[2]
200,3.2520325203252036,31.25,96,492,ETS,qwen,openai,P6,1457248422,1,[2]
30,0.20325203252032523,2.941176470588235,102,492,ETS,qwen,openai,P6,642571064,1,[2]
50,6.910569105691057,48.03921568627451,102,492,ETS,qwen,openai,P6,642571064,1,[2]
200,6.300813008130081,44.11764705882353,102,492,ETS,qwen,openai,P6,642571064,1,[2]
30,1.4227642276422763,24.731182795698924,93,492,ETS,qwen,openai,P6,3609844797,1,[2]
50,5.487804878048781,41.935483870967744,93,492,ETS,qwen,openai,P6,3609844797,1,[2]
200,7.317073170731707,51.61290322580645,93,492,ETS,qwen,openai,P6,3609844797,1,[2]
30,1.6260162601626018,21.782178217821784,101,492,ETS,qwen,openai,P6,1067841243,1,[2]
50,8.536585365853659,48.51485148514851,101,492,ETS,qwen,openai,P6,1067841243,1,[2]
200,9.75609756097561,52.475247524752476,101,492,ETS,qwen,openai,P6,1067841243,1,[2]
30,2.509293680297398,27.64227642276423,246,1076,ETS,qwen,openai,P7,959183449,1,[2]
50,4.089219330855019,34.146341463414636,246,1076,ETS,qwen,openai,P7,959183449,1,[2]
200,4.646840148698884,36.58536585365854,246,1076,ETS,qwen,openai,P7,959183449,1,[2]
30,8.921933085501859,57.199999999999996,250,1076,ETS,qwen,openai,P7,1457248422,1,[2]
50,6.04089219330855,44.0,250,1076,ETS,qwen,openai,P7,1457248422,1,[2]
200,8.085501858736059,54.400000000000006,250,1076,ETS,qwen,openai,P7,1457248422,1,[2]
30,2.2304832713754648,30.23255813953488,258,1076,ETS,qwen,openai,P7,642571064,1,[2]
50,1.1152416356877324,19.379844961240313,258,1076,ETS,qwen,openai,P7,642571064,1,[2]
200,4.553903345724907,40.69767441860465,258,1076,ETS,qwen,openai,P7,642571064,1,[2]
30,17.100371747211895,72.8395061728395,243,1076,ETS,qwen,openai,P7,3609844797,1,[2]
50,0.929368029739777,20.16460905349794,243,1076,ETS,qwen,openai,P7,3609844797,1,[2]
