n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,2.1621621621621623,75.82417582417582,182,185,LOCNESS,qwen,maryland,1067841243,1,[5]
50,2.1621621621621623,75.82417582417582,182,185,LOCNESS,qwen,maryland,1067841243,1,[5]
200,2.1621621621621623,75.82417582417582,182,185,LOCNESS,qwen,maryland,1067841243,1,[5]
30,0.5405405405405406,60.43956043956044,182,185,LOCNESS,qwen,maryland,959183449,1,[6]
50,2.1621621621621623,69.23076923076923,182,185,LOCNESS,qwen,maryland,959183449,1,[6]
200,5.405405405405405,76.92307692307693,182,185,LOCNESS,qwen,maryland,959183449,1,[6]
30,0.5405405405405406,73.86363636363636,176,185,LOCNESS,qwen,maryland,1457248422,1,[6]
50,2.7027027027027026,82.95454545454545,176,185,LOCNESS,qwen,maryland,1457248422,1,[6]
200,0.5405405405405406,78.4090909090909,176,185,LOCNESS,qwen,maryland,1457248422,1,[6]
30,5.9459459459459465,79.78142076502732,183,185,LOCNESS,qwen,maryland,642571064,1,[6]
50,2.7027027027027026,74.86338797814209,183,185,LOCNESS,qwen,maryland,642571064,1,[6]
200,2.7027027027027026,74.86338797814209,183,185,LOCNESS,qwen,maryland,642571064,1,[6]
30,11.351351351351353,86.74033149171271,181,185,LOCNESS,qwen,maryland,3609844797,1,[6]
50,2.7027027027027026,72.37569060773481,181,185,LOCNESS,qwen,maryland,3609844797,1,[6]
200,10.27027027027027,82.32044198895028,181,185,LOCNESS,qwen,maryland,3609844797,1,[6]
30,2.1621621621621623,74.17582417582418,182,185,LOCNESS,qwen,maryland,1067841243,1,[6]
50,2.1621621621621623,74.17582417582418,182,185,LOCNESS,qwen,maryland,1067841243,1,[6]
200,2.1621621621621623,74.17582417582418,182,185,LOCNESS,qwen,maryland,1067841243,1,[6]
30,0.5405405405405406,97.2972972972973,185,185,LOCNESS,qwen,maryland,959183449,1,[7]
50,2.1621621621621623,97.83783783783784,185,185,LOCNESS,qwen,maryland,959183449,1,[7]
200,5.405405405405405,98.91891891891892,185,185,LOCNESS,qwen,maryland,959183449,1,[7]
30,0.5405405405405406,97.2972972972973,185,185,LOCNESS,qwen,maryland,1457248422,1,[7]
50,2.7027027027027026,98.91891891891892,185,185,LOCNESS,qwen,maryland,1457248422,1,[7]
200,0.5405405405405406,97.2972972972973,185,185,LOCNESS,qwen,maryland,1457248422,1,[7]
30,5.9459459459459465,99.45945945945947,185,185,LOCNESS,qwen,maryland,642571064,1,[7]
50,2.7027027027027026,98.91891891891892,185,185,LOCNESS,qwen,maryland,642571064,1,[7]
200,2.7027027027027026,98.91891891891892,185,185,LOCNESS,qwen,maryland,642571064,1,[7]
30,11.351351351351353,99.45945945945947,185,185,LOCNESS,qwen,maryland,3609844797,1,[7]
50,2.7027027027027026,97.83783783783784,185,185,LOCNESS,qwen,maryland,3609844797,1,[7]
200,10.27027027027027,99.45945945945947,185,185,LOCNESS,qwen,maryland,3609844797,1,[7]
30,2.1621621621621623,99.45945945945947,185,185,LOCNESS,qwen,maryland,1067841243,1,[7]
50,2.1621621621621623,99.45945945945947,185,185,LOCNESS,qwen,maryland,1067841243,1,[7]
200,2.1621621621621623,99.45945945945947,185,185,LOCNESS,qwen,maryland,1067841243,1,[7]
30,11.891891891891893,73.61111111111111,72,185,LOCNESS,qwen,maryland,959183449,2,[3]
50,4.324324324324325,52.77777777777778,72,185,LOCNESS,qwen,maryland,959183449,2,[3]
200,4.324324324324325,52.77777777777778,72,185,LOCNESS,qwen,maryland,959183449,2,[3]
30,2.7027027027027026,50.76923076923077,65,185,LOCNESS,qwen,maryland,1457248422,2,[3]
50,2.7027027027027026,50.76923076923077,65,185,LOCNESS,qwen,maryland,1457248422,2,[3]
200,3.783783783783784,52.307692307692314,65,185,LOCNESS,qwen,maryland,1457248422,2,[3]
30,3.783783783783784,50.649350649350644,77,185,LOCNESS,qwen,maryland,642571064,2,[3]
50,7.567567567567568,63.63636363636363,77,185,LOCNESS,qwen,maryland,642571064,2,[3]
200,3.783783783783784,50.649350649350644,77,185,LOCNESS,qwen,maryland,642571064,2,[3]
30,0.5405405405405406,32.926829268292686,82,185,LOCNESS,qwen,maryland,3609844797,2,[3]
50,1.6216216216216217,37.80487804878049,82,185,LOCNESS,qwen,maryland,3609844797,2,[3]
200,1.6216216216216217,37.80487804878049,82,185,LOCNESS,qwen,maryland,3609844797,2,[3]
30,1.0810810810810811,39.0625,64,185,LOCNESS,qwen,maryland,1067841243,2,[3]
50,3.2432432432432434,42.1875,64,185,LOCNESS,qwen,maryland,1067841243,2,[3]
200,5.9459459459459465,51.5625,64,185,LOCNESS,qwen,maryland,1067841243,2,[3]
30,11.891891891891893,83.0,100,185,LOCNESS,qwen,maryland,959183449,2,[4]
50,4.324324324324325,65.0,100,185,LOCNESS,qwen,maryland,959183449,2,[4]
200,4.324324324324325,67.0,100,185,LOCNESS,qwen,maryland,959183449,2,[4]
30,2.7027027027027026,72.28915662650603,83,185,LOCNESS,qwen,maryland,1457248422,2,[4]
50,2.7027027027027026,72.28915662650603,83,185,LOCNESS,qwen,maryland,1457248422,2,[4]
200,3.783783783783784,73.49397590361446,83,185,LOCNESS,qwen,maryland,1457248422,2,[4]
30,3.783783783783784,54.629629629629626,108,185,LOCNESS,qwen,maryland,642571064,2,[4]
50,7.567567567567568,69.44444444444444,108,185,LOCNESS,qwen,maryland,642571064,2,[4]
200,3.783783783783784,59.25925925925925,108,185,LOCNESS,qwen,maryland,642571064,2,[4]
30,0.5405405405405406,46.601941747572816,103,185,LOCNESS,qwen,maryland,3609844797,2,[4]
50,1.6216216216216217,52.42718446601942,103,185,LOCNESS,qwen,maryland,3609844797,2,[4]
200,1.6216216216216217,57.28155339805825,103,185,LOCNESS,qwen,maryland,3609844797,2,[4]
30,1.0810810810810811,48.31460674157304,89,185,LOCNESS,qwen,maryland,1067841243,2,[4]
50,3.2432432432432434,58.42696629213483,89,185,LOCNESS,qwen,maryland,1067841243,2,[4]
200,5.9459459459459465,67.41573033707866,89,185,LOCNESS,qwen,maryland,1067841243,2,[4]
30,11.891891891891893,78.2051282051282,156,185,LOCNESS,qwen,maryland,959183449,2,[5]
50,4.324324324324325,60.89743589743589,156,185,LOCNESS,qwen,maryland,959183449,2,[5]
200,4.324324324324325,61.53846153846154,156,185,LOCNESS,qwen,maryland,959183449,2,[5]
30,2.7027027027027026,61.48648648648649,148,185,LOCNESS,qwen,maryland,1457248422,2,[5]
50,2.7027027027027026,61.48648648648649,148,185,LOCNESS,qwen,maryland,1457248422,2,[5]
200,3.783783783783784,62.16216216216216,148,185,LOCNESS,qwen,maryland,1457248422,2,[5]
30,3.783783783783784,56.36363636363636,165,185,LOCNESS,qwen,maryland,642571064,2,[5]
50,7.567567567567568,67.87878787878789,165,185,LOCNESS,qwen,maryland,642571064,2,[5]
200,3.783783783783784,57.57575757575758,165,185,LOCNESS,qwen,maryland,642571064,2,[5]
30,0.5405405405405406,48.19277108433735,166,185,LOCNESS,qwen,maryland,3609844797,2,[5]
50,1.6216216216216217,54.81927710843374,166,185,LOCNESS,qwen,maryland,3609844797,2,[5]
200,1.6216216216216217,59.63855421686747,166,185,LOCNESS,qwen,maryland,3609844797,2,[5]
30,1.0810810810810811,47.5,160,185,LOCNESS,qwen,maryland,1067841243,2,[5]
50,3.2432432432432434,56.875,160,185,LOCNESS,qwen,maryland,1067841243,2,[5]
200,5.9459459459459465,60.62499999999999,160,185,LOCNESS,qwen,maryland,1067841243,2,[5]
30,11.891891891891893,77.30496453900709,141,185,LOCNESS,qwen,maryland,959183449,2,[6]
50,4.324324324324325,64.53900709219859,141,185,LOCNESS,qwen,maryland,959183449,2,[6]
200,4.324324324324325,66.66666666666666,141,185,LOCNESS,qwen,maryland,959183449,2,[6]
30,2.7027027027027026,69.44444444444444,144,185,LOCNESS,qwen,maryland,1457248422,2,[6]
50,2.7027027027027026,69.44444444444444,144,185,LOCNESS,qwen,maryland,1457248422,2,[6]
200,3.783783783783784,72.22222222222221,144,185,LOCNESS,qwen,maryland,1457248422,2,[6]
30,3.783783783783784,62.33766233766234,154,185,LOCNESS,qwen,maryland,642571064,2,[6]
50,7.567567567567568,74.02597402597402,154,185,LOCNESS,qwen,maryland,642571064,2,[6]
200,3.783783783783784,64.28571428571429,154,185,LOCNESS,qwen,maryland,642571064,2,[6]
30,0.5405405405405406,49.685534591194966,159,185,LOCNESS,qwen,maryland,3609844797,2,[6]
50,1.6216216216216217,56.60377358490566,159,185,LOCNESS,qwen,maryland,3609844797,2,[6]
200,1.6216216216216217,60.37735849056604,159,185,LOCNESS,qwen,maryland,3609844797,2,[6]
30,1.0810810810810811,47.183098591549296,142,185,LOCNESS,qwen,maryland,1067841243,2,[6]
50,3.2432432432432434,60.56338028169014,142,185,LOCNESS,qwen,maryland,1067841243,2,[6]
200,5.9459459459459465,64.7887323943662,142,185,LOCNESS,qwen,maryland,1067841243,2,[6]
30,11.891891891891893,97.83783783783784,185,185,LOCNESS,qwen,maryland,959183449,2,[7]
50,4.324324324324325,91.35135135135135,185,185,LOCNESS,qwen,maryland,959183449,2,[7]
200,4.324324324324325,92.97297297297298,185,185,LOCNESS,qwen,maryland,959183449,2,[7]
30,2.7027027027027026,94.05405405405406,185,185,LOCNESS,qwen,maryland,1457248422,2,[7]
50,2.7027027027027026,94.05405405405406,185,185,LOCNESS,qwen,maryland,1457248422,2,[7]
200,3.783783783783784,95.13513513513514,185,185,LOCNESS,qwen,maryland,1457248422,2,[7]
30,3.783783783783784,94.5945945945946,185,185,LOCNESS,qwen,maryland,642571064,2,[7]
50,7.567567567567568,98.37837837837839,185,185,LOCNESS,qwen,maryland,642571064,2,[7]
200,3.783783783783784,94.5945945945946,185,185,LOCNESS,qwen,maryland,642571064,2,[7]
30,0.5405405405405406,90.81081081081082,185,185,LOCNESS,qwen,maryland,3609844797,2,[7]
50,1.6216216216216217,90.81081081081082,185,185,LOCNESS,qwen,maryland,3609844797,2,[7]
200,1.6216216216216217,92.97297297297298,185,185,LOCNESS,qwen,maryland,3609844797,2,[7]
30,1.0810810810810811,92.97297297297298,185,185,LOCNESS,qwen,maryland,1067841243,2,[7]
50,3.2432432432432434,95.13513513513514,185,185,LOCNESS,qwen,maryland,1067841243,2,[7]
200,5.9459459459459465,97.83783783783784,185,185,LOCNESS,qwen,maryland,1067841243,2,[7]
30,4.324324324324325,31.25,16,185,LOCNESS,qwen,maryland,959183449,3,[4]
50,4.864864864864865,43.75,16,185,LOCNESS,qwen,maryland,959183449,3,[4]
200,4.864864864864865,43.75,16,185,LOCNESS,qwen,maryland,959183449,3,[4]
30,2.1621621621621623,31.25,16,185,LOCNESS,qwen,maryland,642571064,3,[4]
50,2.1621621621621623,31.25,16,185,LOCNESS,qwen,maryland,642571064,3,[4]
200,2.7027027027027026,37.5,16,185,LOCNESS,qwen,maryland,642571064,3,[4]
30,0.0,6.666666666666667,15,185,LOCNESS,qwen,maryland,3609844797,3,[4]
50,3.783783783783784,46.666666666666664,15,185,LOCNESS,qwen,maryland,3609844797,3,[4]
200,3.2432432432432434,40.0,15,185,LOCNESS,qwen,maryland,3609844797,3,[4]
30,4.324324324324325,48.275862068965516,29,185,LOCNESS,qwen,maryland,1067841243,3,[4]
50,4.864864864864865,51.724137931034484,29,185,LOCNESS,qwen,maryland,1067841243,3,[4]
200,4.324324324324325,48.275862068965516,29,185,LOCNESS,qwen,maryland,1067841243,3,[4]
