n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,7.027027027027027,70.1219512195122,164,185,LOCNESS,phi,maryland,959183449,1,[6]
50,4.864864864864865,66.46341463414635,164,185,LOCNESS,phi,maryland,959183449,1,[6]
200,14.054054054054054,84.7560975609756,164,185,LOCNESS,phi,maryland,959183449,1,[6]
30,0.0,51.92307692307693,156,185,LOCNESS,phi,maryland,1457248422,1,[6]
50,0.5405405405405406,59.61538461538461,156,185,LOCNESS,phi,maryland,1457248422,1,[6]
200,7.027027027027027,78.84615384615384,156,185,LOCNESS,phi,maryland,1457248422,1,[6]
30,1.0810810810810811,52.17391304347826,161,185,LOCNESS,phi,maryland,642571064,1,[6]
50,2.7027027027027026,59.006211180124225,161,185,LOCNESS,phi,maryland,642571064,1,[6]
200,3.783783783783784,68.32298136645963,161,185,LOCNESS,phi,maryland,642571064,1,[6]
30,0.0,37.17948717948718,156,185,LOCNESS,phi,maryland,3609844797,1,[6]
50,2.1621621621621623,61.53846153846154,156,185,LOCNESS,phi,maryland,3609844797,1,[6]
200,3.2432432432432434,67.94871794871796,156,185,LOCNESS,phi,maryland,3609844797,1,[6]
30,1.0810810810810811,60.12658227848101,158,185,LOCNESS,phi,maryland,1067841243,1,[6]
50,1.0810810810810811,60.12658227848101,158,185,LOCNESS,phi,maryland,1067841243,1,[6]
200,4.864864864864865,68.35443037974683,158,185,LOCNESS,phi,maryland,1067841243,1,[6]
30,7.027027027027027,99.45945945945947,185,185,LOCNESS,phi,maryland,959183449,1,[7]
50,4.864864864864865,99.45945945945947,185,185,LOCNESS,phi,maryland,959183449,1,[7]
200,14.054054054054054,99.45945945945947,185,185,LOCNESS,phi,maryland,959183449,1,[7]
30,0.0,98.37837837837839,185,185,LOCNESS,phi,maryland,1457248422,1,[7]
50,0.5405405405405406,98.37837837837839,185,185,LOCNESS,phi,maryland,1457248422,1,[7]
200,7.027027027027027,99.45945945945947,185,185,LOCNESS,phi,maryland,1457248422,1,[7]
30,1.0810810810810811,99.45945945945947,185,185,LOCNESS,phi,maryland,642571064,1,[7]
50,2.7027027027027026,99.45945945945947,185,185,LOCNESS,phi,maryland,642571064,1,[7]
200,3.783783783783784,100.0,185,185,LOCNESS,phi,maryland,642571064,1,[7]
30,0.0,97.83783783783784,185,185,LOCNESS,phi,maryland,3609844797,1,[7]
50,2.1621621621621623,100.0,185,185,LOCNESS,phi,maryland,3609844797,1,[7]
200,3.2432432432432434,100.0,185,185,LOCNESS,phi,maryland,3609844797,1,[7]
30,1.0810810810810811,99.45945945945947,185,185,LOCNESS,phi,maryland,1067841243,1,[7]
50,1.0810810810810811,99.45945945945947,185,185,LOCNESS,phi,maryland,1067841243,1,[7]
200,4.864864864864865,99.45945945945947,185,185,LOCNESS,phi,maryland,1067841243,1,[7]
30,8.64864864864865,45.16129032258064,31,185,LOCNESS,phi,maryland,959183449,2,[3]
50,8.64864864864865,45.16129032258064,31,185,LOCNESS,phi,maryland,959183449,2,[3]
200,8.64864864864865,45.16129032258064,31,185,LOCNESS,phi,maryland,959183449,2,[3]
30,1.6216216216216217,14.285714285714285,35,185,LOCNESS,phi,maryland,1457248422,2,[3]
50,1.6216216216216217,14.285714285714285,35,185,LOCNESS,phi,maryland,1457248422,2,[3]
200,4.324324324324325,22.857142857142858,35,185,LOCNESS,phi,maryland,1457248422,2,[3]
30,0.0,0.0,33,185,LOCNESS,phi,maryland,642571064,2,[3]
50,0.0,9.090909090909092,33,185,LOCNESS,phi,maryland,642571064,2,[3]
200,3.783783783783784,42.42424242424242,33,185,LOCNESS,phi,maryland,642571064,2,[3]
30,5.405405405405405,27.027027027027028,37,185,LOCNESS,phi,maryland,3609844797,2,[3]
50,5.405405405405405,24.324324324324326,37,185,LOCNESS,phi,maryland,3609844797,2,[3]
200,5.405405405405405,29.72972972972973,37,185,LOCNESS,phi,maryland,3609844797,2,[3]
30,0.0,0.0,30,185,LOCNESS,phi,maryland,1067841243,2,[3]
50,1.6216216216216217,30.0,30,185,LOCNESS,phi,maryland,1067841243,2,[3]
200,5.405405405405405,43.333333333333336,30,185,LOCNESS,phi,maryland,1067841243,2,[3]
30,8.64864864864865,72.72727272727273,33,185,LOCNESS,phi,maryland,959183449,2,[4]
50,8.64864864864865,69.6969696969697,33,185,LOCNESS,phi,maryland,959183449,2,[4]
200,8.64864864864865,69.6969696969697,33,185,LOCNESS,phi,maryland,959183449,2,[4]
30,1.6216216216216217,51.21951219512195,41,185,LOCNESS,phi,maryland,1457248422,2,[4]
50,1.6216216216216217,51.21951219512195,41,185,LOCNESS,phi,maryland,1457248422,2,[4]
200,4.324324324324325,65.85365853658537,41,185,LOCNESS,phi,maryland,1457248422,2,[4]
30,0.0,13.88888888888889,36,185,LOCNESS,phi,maryland,642571064,2,[4]
50,0.0,25.0,36,185,LOCNESS,phi,maryland,642571064,2,[4]
200,3.783783783783784,55.55555555555556,36,185,LOCNESS,phi,maryland,642571064,2,[4]
