n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
30,In Distribution Only,0.2006018054162487,5.025125628140704,ETS,qwen,openai,P5,959183449,1,[2]
30,Combined Unweighted,12.036108324974924,61.80904522613066,ETS,qwen,openai,P5,959183449,1,[2]
30,Combined Weighted (quantile),5.717151454363089,45.7286432160804,ETS,qwen,openai,P5,959183449,1,[2]
30,Combined Weighted (mean),1.9057171514543632,25.628140703517587,ETS,qwen,openai,P5,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,959183449,1,[2]
5,Combined Unweighted,10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
5,Combined Weighted (quantile),10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
5,Combined Weighted (mean),10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,959183449,1,[2]
15,Combined Unweighted,10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
15,Combined Weighted (quantile),8.130081300813007,51.32743362831859,ETS,qwen,openai,P6,959183449,1,[2]
15,Combined Weighted (mean),4.878048780487805,39.823008849557525,ETS,qwen,openai,P6,959183449,1,[2]
30,In Distribution Only,2.845528455284553,28.31858407079646,ETS,qwen,openai,P6,959183449,1,[2]
30,Combined Unweighted,10.365853658536585,56.63716814159292,ETS,qwen,openai,P6,959183449,1,[2]
30,Combined Weighted (quantile),4.878048780487805,39.823008849557525,ETS,qwen,openai,P6,959183449,1,[2]
30,Combined Weighted (mean),6.504065040650407,49.55752212389381,ETS,qwen,openai,P6,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P7,959183449,1,[2]
5,Combined Unweighted,11.988847583643125,63.41463414634146,ETS,qwen,openai,P7,959183449,1,[2]
5,Combined Weighted (quantile),0.7434944237918215,16.666666666666664,ETS,qwen,openai,P7,959183449,1,[2]
5,Combined Weighted (mean),6.877323420074349,51.6260162601626,ETS,qwen,openai,P7,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P7,959183449,1,[2]
15,Combined Unweighted,11.988847583643125,63.41463414634146,ETS,qwen,openai,P7,959183449,1,[2]
15,Combined Weighted (quantile),2.509293680297398,29.268292682926827,ETS,qwen,openai,P7,959183449,1,[2]
15,Combined Weighted (mean),3.159851301115242,31.70731707317073,ETS,qwen,openai,P7,959183449,1,[2]
30,In Distribution Only,0.0929368029739776,8.130081300813007,ETS,qwen,openai,P7,959183449,1,[2]
30,Combined Unweighted,10.966542750929367,60.56910569105691,ETS,qwen,openai,P7,959183449,1,[2]
30,Combined Weighted (quantile),2.41635687732342,28.86178861788618,ETS,qwen,openai,P7,959183449,1,[2]
30,Combined Weighted (mean),2.41635687732342,28.86178861788618,ETS,qwen,openai,P7,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P8,959183449,1,[2]
5,Combined Unweighted,10.72436500470367,56.45933014354066,ETS,qwen,openai,P8,959183449,1,[2]
5,Combined Weighted (quantile),9.0310442144873,53.110047846889955,ETS,qwen,openai,P8,959183449,1,[2]
5,Combined Weighted (mean),10.72436500470367,56.45933014354066,ETS,qwen,openai,P8,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P8,959183449,1,[2]
15,Combined Unweighted,10.630291627469427,56.45933014354066,ETS,qwen,openai,P8,959183449,1,[2]
15,Combined Weighted (quantile),5.268109125117592,41.14832535885167,ETS,qwen,openai,P8,959183449,1,[2]
15,Combined Weighted (mean),5.268109125117592,41.14832535885167,ETS,qwen,openai,P8,959183449,1,[2]
30,In Distribution Only,1.505174035747883,22.48803827751196,ETS,qwen,openai,P8,959183449,1,[2]
30,Combined Unweighted,9.501411100658514,54.54545454545454,ETS,qwen,openai,P8,959183449,1,[2]
30,Combined Weighted (quantile),4.609595484477893,39.23444976076555,ETS,qwen,openai,P8,959183449,1,[2]
30,Combined Weighted (mean),3.857008466603951,36.84210526315789,ETS,qwen,openai,P8,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P1,1457248422,1,[2]
5,Combined Unweighted,9.765625,61.96078431372549,ETS,qwen,openai,P1,1457248422,1,[2]
5,Combined Weighted (quantile),8.10546875,58.43137254901961,ETS,qwen,openai,P1,1457248422,1,[2]
5,Combined Weighted (mean),8.69140625,61.1764705882353,ETS,qwen,openai,P1,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P1,1457248422,1,[2]
15,Combined Unweighted,9.765625,61.96078431372549,ETS,qwen,openai,P1,1457248422,1,[2]
15,Combined Weighted (quantile),9.765625,61.96078431372549,ETS,qwen,openai,P1,1457248422,1,[2]
15,Combined Weighted (mean),9.765625,61.96078431372549,ETS,qwen,openai,P1,1457248422,1,[2]
30,In Distribution Only,6.25,52.54901960784314,ETS,qwen,openai,P1,1457248422,1,[2]
30,Combined Unweighted,9.765625,61.96078431372549,ETS,qwen,openai,P1,1457248422,1,[2]
30,Combined Weighted (quantile),9.765625,61.96078431372549,ETS,qwen,openai,P1,1457248422,1,[2]
30,Combined Weighted (mean),8.10546875,58.43137254901961,ETS,qwen,openai,P1,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P2,1457248422,1,[2]
5,Combined Unweighted,11.642411642411645,58.24742268041238,ETS,qwen,openai,P2,1457248422,1,[2]
