n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,1.6216216216216217,70.34482758620689,145,185,LOCNESS,phi,openai,959183449,1,[6]
50,1.6216216216216217,70.34482758620689,145,185,LOCNESS,phi,openai,959183449,1,[6]
200,3.783783783783784,77.93103448275862,145,185,LOCNESS,phi,openai,959183449,1,[6]
30,1.6216216216216217,65.27777777777779,144,185,LOCNESS,phi,openai,1457248422,1,[6]
50,12.432432432432433,85.41666666666666,144,185,LOCNESS,phi,openai,1457248422,1,[6]
200,7.027027027027027,79.86111111111111,144,185,LOCNESS,phi,openai,1457248422,1,[6]
30,3.2432432432432434,82.08955223880598,134,185,LOCNESS,phi,openai,642571064,1,[6]
50,3.2432432432432434,82.08955223880598,134,185,LOCNESS,phi,openai,642571064,1,[6]
200,3.2432432432432434,81.34328358208955,134,185,LOCNESS,phi,openai,642571064,1,[6]
30,3.2432432432432434,75.18248175182481,137,185,LOCNESS,phi,openai,3609844797,1,[6]
50,4.864864864864865,78.1021897810219,137,185,LOCNESS,phi,openai,3609844797,1,[6]
200,4.324324324324325,76.64233576642336,137,185,LOCNESS,phi,openai,3609844797,1,[6]
30,7.027027027027027,77.46478873239437,142,185,LOCNESS,phi,openai,1067841243,1,[6]
50,10.27027027027027,82.3943661971831,142,185,LOCNESS,phi,openai,1067841243,1,[6]
200,7.027027027027027,77.46478873239437,142,185,LOCNESS,phi,openai,1067841243,1,[6]
30,1.6216216216216217,100.0,185,185,LOCNESS,phi,openai,959183449,1,[7]
50,1.6216216216216217,100.0,185,185,LOCNESS,phi,openai,959183449,1,[7]
200,3.783783783783784,100.0,185,185,LOCNESS,phi,openai,959183449,1,[7]
30,1.6216216216216217,100.0,185,185,LOCNESS,phi,openai,1457248422,1,[7]
50,12.432432432432433,100.0,185,185,LOCNESS,phi,openai,1457248422,1,[7]
200,7.027027027027027,100.0,185,185,LOCNESS,phi,openai,1457248422,1,[7]
30,3.2432432432432434,100.0,185,185,LOCNESS,phi,openai,642571064,1,[7]
50,3.2432432432432434,100.0,185,185,LOCNESS,phi,openai,642571064,1,[7]
200,3.2432432432432434,100.0,185,185,LOCNESS,phi,openai,642571064,1,[7]
30,3.2432432432432434,100.0,185,185,LOCNESS,phi,openai,3609844797,1,[7]
50,4.864864864864865,100.0,185,185,LOCNESS,phi,openai,3609844797,1,[7]
200,4.324324324324325,100.0,185,185,LOCNESS,phi,openai,3609844797,1,[7]
30,7.027027027027027,100.0,185,185,LOCNESS,phi,openai,1067841243,1,[7]
50,10.27027027027027,100.0,185,185,LOCNESS,phi,openai,1067841243,1,[7]
200,7.027027027027027,100.0,185,185,LOCNESS,phi,openai,1067841243,1,[7]
30,3.2432432432432434,61.111111111111114,18,185,LOCNESS,phi,openai,959183449,2,[3]
50,3.2432432432432434,61.111111111111114,18,185,LOCNESS,phi,openai,959183449,2,[3]
200,4.864864864864865,66.66666666666666,18,185,LOCNESS,phi,openai,959183449,2,[3]
30,1.6216216216216217,33.33333333333333,15,185,LOCNESS,phi,openai,1457248422,2,[3]
50,4.324324324324325,46.666666666666664,15,185,LOCNESS,phi,openai,1457248422,2,[3]
200,5.405405405405405,46.666666666666664,15,185,LOCNESS,phi,openai,1457248422,2,[3]
30,3.2432432432432434,70.96774193548387,31,185,LOCNESS,phi,openai,959183449,2,[4]
50,3.2432432432432434,70.96774193548387,31,185,LOCNESS,phi,openai,959183449,2,[4]
200,4.864864864864865,83.87096774193549,31,185,LOCNESS,phi,openai,959183449,2,[4]
30,1.6216216216216217,51.724137931034484,29,185,LOCNESS,phi,openai,1457248422,2,[4]
50,4.324324324324325,62.06896551724138,29,185,LOCNESS,phi,openai,1457248422,2,[4]
200,5.405405405405405,79.3103448275862,29,185,LOCNESS,phi,openai,1457248422,2,[4]
30,0.5405405405405406,43.333333333333336,30,185,LOCNESS,phi,openai,642571064,2,[4]
50,0.5405405405405406,43.333333333333336,30,185,LOCNESS,phi,openai,642571064,2,[4]
200,5.405405405405405,80.0,30,185,LOCNESS,phi,openai,642571064,2,[4]
30,9.18918918918919,84.61538461538461,26,185,LOCNESS,phi,openai,3609844797,2,[4]
50,11.351351351351353,88.46153846153845,26,185,LOCNESS,phi,openai,3609844797,2,[4]
200,7.027027027027027,80.76923076923077,26,185,LOCNESS,phi,openai,3609844797,2,[4]
30,0.5405405405405406,30.0,30,185,LOCNESS,phi,openai,1067841243,2,[4]
50,9.72972972972973,93.33333333333333,30,185,LOCNESS,phi,openai,1067841243,2,[4]
200,9.18918918918919,90.0,30,185,LOCNESS,phi,openai,1067841243,2,[4]
30,3.2432432432432434,70.96774193548387,93,185,LOCNESS,phi,openai,959183449,2,[5]
50,3.2432432432432434,70.96774193548387,93,185,LOCNESS,phi,openai,959183449,2,[5]
200,4.864864864864865,81.72043010752688,93,185,LOCNESS,phi,openai,959183449,2,[5]
30,1.6216216216216217,50.0,84,185,LOCNESS,phi,openai,1457248422,2,[5]
50,4.324324324324325,70.23809523809523,84,185,LOCNESS,phi,openai,1457248422,2,[5]
