n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
30,In Distribution Only,2.6078234704112337,42.471042471042466,ETS,phi,openai,P5,959183449,1,[2]
30,Combined Unweighted,8.625877632898696,59.07335907335908,ETS,phi,openai,P5,959183449,1,[2]
30,Combined Weighted (quantile),4.814443329989969,50.19305019305019,ETS,phi,openai,P5,959183449,1,[2]
30,Combined Weighted (mean),4.112337011033099,48.26254826254826,ETS,phi,openai,P5,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P6,959183449,1,[2]
5,Combined Unweighted,12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
5,Combined Weighted (quantile),5.894308943089431,60.19417475728155,ETS,phi,openai,P6,959183449,1,[2]
5,Combined Weighted (mean),12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P6,959183449,1,[2]
15,Combined Unweighted,12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
15,Combined Weighted (quantile),12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
15,Combined Weighted (mean),10.365853658536585,65.0485436893204,ETS,phi,openai,P6,959183449,1,[2]
30,In Distribution Only,9.552845528455284,64.07766990291263,ETS,phi,openai,P6,959183449,1,[2]
30,Combined Unweighted,12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
30,Combined Weighted (quantile),12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
30,Combined Weighted (mean),12.804878048780488,67.96116504854369,ETS,phi,openai,P6,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P7,959183449,1,[2]
5,Combined Unweighted,12.0817843866171,63.77358490566037,ETS,phi,openai,P7,959183449,1,[2]
5,Combined Weighted (quantile),10.780669144981411,61.886792452830186,ETS,phi,openai,P7,959183449,1,[2]
5,Combined Weighted (mean),12.0817843866171,63.77358490566037,ETS,phi,openai,P7,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P7,959183449,1,[2]
15,Combined Unweighted,12.0817843866171,63.77358490566037,ETS,phi,openai,P7,959183449,1,[2]
15,Combined Weighted (quantile),12.0817843866171,63.77358490566037,ETS,phi,openai,P7,959183449,1,[2]
15,Combined Weighted (mean),12.0817843866171,63.77358490566037,ETS,phi,openai,P7,959183449,1,[2]
30,In Distribution Only,3.903345724907063,41.88679245283019,ETS,phi,openai,P7,959183449,1,[2]
30,Combined Unweighted,10.87360594795539,62.264150943396224,ETS,phi,openai,P7,959183449,1,[2]
30,Combined Weighted (quantile),4.83271375464684,47.54716981132076,ETS,phi,openai,P7,959183449,1,[2]
30,Combined Weighted (mean),9.66542750929368,60.0,ETS,phi,openai,P7,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P8,959183449,1,[2]
5,Combined Unweighted,14.299153339604892,77.0,ETS,phi,openai,P8,959183449,1,[2]
5,Combined Weighted (quantile),4.891815616180621,60.5,ETS,phi,openai,P8,959183449,1,[2]
5,Combined Weighted (mean),11.194731890874882,73.0,ETS,phi,openai,P8,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P8,959183449,1,[2]
15,Combined Unweighted,14.205079962370649,76.0,ETS,phi,openai,P8,959183449,1,[2]
15,Combined Weighted (quantile),5.079962370649106,62.0,ETS,phi,openai,P8,959183449,1,[2]
15,Combined Weighted (mean),4.891815616180621,60.5,ETS,phi,openai,P8,959183449,1,[2]
30,In Distribution Only,0.4703668861712135,30.5,ETS,phi,openai,P8,959183449,1,[2]
30,Combined Unweighted,11.665098777046095,73.5,ETS,phi,openai,P8,959183449,1,[2]
30,Combined Weighted (quantile),3.292568203198494,50.0,ETS,phi,openai,P8,959183449,1,[2]
30,Combined Weighted (mean),3.3866415804327374,52.0,ETS,phi,openai,P8,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P1,1457248422,1,[2]
5,Combined Unweighted,13.4765625,63.91304347826087,ETS,phi,openai,P1,1457248422,1,[2]
5,Combined Weighted (quantile),5.078125,44.78260869565218,ETS,phi,openai,P1,1457248422,1,[2]
5,Combined Weighted (mean),10.83984375,59.56521739130435,ETS,phi,openai,P1,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P1,1457248422,1,[2]
15,Combined Unweighted,13.671875,63.91304347826087,ETS,phi,openai,P1,1457248422,1,[2]
15,Combined Weighted (quantile),12.5,63.04347826086957,ETS,phi,openai,P1,1457248422,1,[2]
15,Combined Weighted (mean),11.1328125,60.43478260869565,ETS,phi,openai,P1,1457248422,1,[2]
30,In Distribution Only,12.98828125,63.04347826086957,ETS,phi,openai,P1,1457248422,1,[2]
30,Combined Unweighted,13.671875,63.91304347826087,ETS,phi,openai,P1,1457248422,1,[2]
30,Combined Weighted (quantile),13.671875,63.91304347826087,ETS,phi,openai,P1,1457248422,1,[2]
30,Combined Weighted (mean),12.98828125,63.04347826086957,ETS,phi,openai,P1,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P2,1457248422,1,[2]
5,Combined Unweighted,14.760914760914762,77.98165137614679,ETS,phi,openai,P2,1457248422,1,[2]
5,Combined Weighted (quantile),13.61746361746362,75.68807339449542,ETS,phi,openai,P2,1457248422,1,[2]
5,Combined Weighted (mean),14.760914760914762,77.98165137614679,ETS,phi,openai,P2,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P2,1457248422,1,[2]
15,Combined Unweighted,14.864864864864863,77.98165137614679,ETS,phi,openai,P2,1457248422,1,[2]
15,Combined Weighted (quantile),14.864864864864863,77.98165137614679,ETS,phi,openai,P2,1457248422,1,[2]
15,Combined Weighted (mean),15.384615384615383,77.98165137614679,ETS,phi,openai,P2,1457248422,1,[2]
30,In Distribution Only,2.182952182952183,48.1651376146789,ETS,phi,openai,P2,1457248422,1,[2]
30,Combined Unweighted,13.61746361746362,75.68807339449542,ETS,phi,openai,P2,1457248422,1,[2]
30,Combined Weighted (quantile),4.5738045738045745,61.00917431192661,ETS,phi,openai,P2,1457248422,1,[2]
30,Combined Weighted (mean),6.860706860706861,65.13761467889908,ETS,phi,openai,P2,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P3,1457248422,1,[2]
5,Combined Unweighted,13.537675606641123,73.74301675977654,ETS,phi,openai,P3,1457248422,1,[2]
5,Combined Weighted (quantile),1.0217113665389528,33.5195530726257,ETS,phi,openai,P3,1457248422,1,[2]
5,Combined Weighted (mean),2.4265644955300125,43.01675977653631,ETS,phi,openai,P3,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P3,1457248422,1,[2]
15,Combined Unweighted,13.537675606641123,73.74301675977654,ETS,phi,openai,P3,1457248422,1,[2]
15,Combined Weighted (quantile),3.8314176245210727,49.162011173184354,ETS,phi,openai,P3,1457248422,1,[2]
15,Combined Weighted (mean),3.5759897828863343,48.04469273743017,ETS,phi,openai,P3,1457248422,1,[2]
30,In Distribution Only,1.0217113665389528,33.5195530726257,ETS,phi,openai,P3,1457248422,1,[2]
30,Combined Unweighted,12.132822477650064,70.39106145251397,ETS,phi,openai,P3,1457248422,1,[2]
30,Combined Weighted (quantile),3.8314176245210727,49.162011173184354,ETS,phi,openai,P3,1457248422,1,[2]
30,Combined Weighted (mean),3.8314176245210727,49.162011173184354,ETS,phi,openai,P3,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P4,1457248422,1,[2]
5,Combined Unweighted,10.597519729425027,72.25130890052355,ETS,phi,openai,P4,1457248422,1,[2]
5,Combined Weighted (quantile),10.259301014656144,72.25130890052355,ETS,phi,openai,P4,1457248422,1,[2]
