n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Unweighted,7.12136409227683,36.84210526315789,ETS,qwen,maryland,P5,959183449,1,[2]
15,Combined Weighted (quantile),6.218655967903711,35.96491228070175,ETS,qwen,maryland,P5,959183449,1,[2]
15,Combined Weighted (mean),5.2156469408224675,33.771929824561404,ETS,qwen,maryland,P5,959183449,1,[2]
30,In Distribution Only,7.021063189568706,36.84210526315789,ETS,qwen,maryland,P5,959183449,1,[2]
30,Combined Unweighted,7.12136409227683,36.84210526315789,ETS,qwen,maryland,P5,959183449,1,[2]
30,Combined Weighted (quantile),7.12136409227683,36.84210526315789,ETS,qwen,maryland,P5,959183449,1,[2]
30,Combined Weighted (mean),6.519558676028084,36.84210526315789,ETS,qwen,maryland,P5,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P6,959183449,1,[2]
5,Combined Unweighted,6.097560975609756,37.69230769230769,ETS,qwen,maryland,P6,959183449,1,[2]
5,Combined Weighted (quantile),6.097560975609756,37.69230769230769,ETS,qwen,maryland,P6,959183449,1,[2]
5,Combined Weighted (mean),6.097560975609756,37.69230769230769,ETS,qwen,maryland,P6,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P6,959183449,1,[2]
15,Combined Unweighted,6.097560975609756,37.69230769230769,ETS,qwen,maryland,P6,959183449,1,[2]
15,Combined Weighted (quantile),6.097560975609756,37.69230769230769,ETS,qwen,maryland,P6,959183449,1,[2]
15,Combined Weighted (mean),7.520325203252034,40.0,ETS,qwen,maryland,P6,959183449,1,[2]
30,In Distribution Only,3.2520325203252036,20.76923076923077,ETS,qwen,maryland,P6,959183449,1,[2]
30,Combined Unweighted,5.691056910569105,36.92307692307693,ETS,qwen,maryland,P6,959183449,1,[2]
30,Combined Weighted (quantile),5.691056910569105,36.92307692307693,ETS,qwen,maryland,P6,959183449,1,[2]
30,Combined Weighted (mean),5.691056910569105,36.92307692307693,ETS,qwen,maryland,P6,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P7,959183449,1,[2]
5,Combined Unweighted,9.293680297397769,40.476190476190474,ETS,qwen,maryland,P7,959183449,1,[2]
5,Combined Weighted (quantile),9.293680297397769,40.476190476190474,ETS,qwen,maryland,P7,959183449,1,[2]
5,Combined Weighted (mean),9.293680297397769,40.476190476190474,ETS,qwen,maryland,P7,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P7,959183449,1,[2]
15,Combined Unweighted,9.293680297397769,40.476190476190474,ETS,qwen,maryland,P7,959183449,1,[2]
15,Combined Weighted (quantile),9.293680297397769,40.476190476190474,ETS,qwen,maryland,P7,959183449,1,[2]
15,Combined Weighted (mean),9.293680297397769,40.476190476190474,ETS,qwen,maryland,P7,959183449,1,[2]
30,In Distribution Only,1.858736059479554,12.3015873015873,ETS,qwen,maryland,P7,959183449,1,[2]
30,Combined Unweighted,8.550185873605948,40.07936507936508,ETS,qwen,maryland,P7,959183449,1,[2]
30,Combined Weighted (quantile),8.550185873605948,40.07936507936508,ETS,qwen,maryland,P7,959183449,1,[2]
30,Combined Weighted (mean),6.598513011152416,33.33333333333333,ETS,qwen,maryland,P7,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P8,959183449,1,[2]
5,Combined Unweighted,7.149576669802446,35.92233009708738,ETS,qwen,maryland,P8,959183449,1,[2]
5,Combined Weighted (quantile),2.539981185324553,21.35922330097087,ETS,qwen,maryland,P8,959183449,1,[2]
5,Combined Weighted (mean),6.302916274694262,33.00970873786408,ETS,qwen,maryland,P8,959183449,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P8,959183449,1,[2]
15,Combined Unweighted,6.867356538099719,35.92233009708738,ETS,qwen,maryland,P8,959183449,1,[2]
15,Combined Weighted (quantile),1.7873941674506115,14.563106796116504,ETS,qwen,maryland,P8,959183449,1,[2]
15,Combined Weighted (mean),1.4111006585136407,9.70873786407767,ETS,qwen,maryland,P8,959183449,1,[2]
30,In Distribution Only,0.0940733772342427,2.4271844660194173,ETS,qwen,maryland,P8,959183449,1,[2]
30,Combined Unweighted,6.867356538099719,35.43689320388349,ETS,qwen,maryland,P8,959183449,1,[2]
30,Combined Weighted (quantile),3.6688617121354654,25.728155339805824,ETS,qwen,maryland,P8,959183449,1,[2]
30,Combined Weighted (mean),3.1044214487300095,21.35922330097087,ETS,qwen,maryland,P8,959183449,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P1,1457248422,1,[2]
5,Combined Unweighted,8.59375,41.015625,ETS,qwen,maryland,P1,1457248422,1,[2]
5,Combined Weighted (quantile),2.34375,20.703125,ETS,qwen,maryland,P1,1457248422,1,[2]
5,Combined Weighted (mean),3.125,26.5625,ETS,qwen,maryland,P1,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P1,1457248422,1,[2]
15,Combined Unweighted,8.59375,41.015625,ETS,qwen,maryland,P1,1457248422,1,[2]
15,Combined Weighted (quantile),6.15234375,33.984375,ETS,qwen,maryland,P1,1457248422,1,[2]
15,Combined Weighted (mean),3.7109375,27.34375,ETS,qwen,maryland,P1,1457248422,1,[2]
30,In Distribution Only,2.734375,23.046875,ETS,qwen,maryland,P1,1457248422,1,[2]
30,Combined Unweighted,8.49609375,41.015625,ETS,qwen,maryland,P1,1457248422,1,[2]
30,Combined Weighted (quantile),7.2265625,37.890625,ETS,qwen,maryland,P1,1457248422,1,[2]
30,Combined Weighted (mean),6.25,35.15625,ETS,qwen,maryland,P1,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P2,1457248422,1,[2]
5,Combined Unweighted,7.6923076923076925,45.20547945205479,ETS,qwen,maryland,P2,1457248422,1,[2]
5,Combined Weighted (quantile),4.885654885654886,40.18264840182648,ETS,qwen,maryland,P2,1457248422,1,[2]
5,Combined Weighted (mean),6.4449064449064455,42.465753424657535,ETS,qwen,maryland,P2,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P2,1457248422,1,[2]
15,Combined Unweighted,7.380457380457381,43.83561643835616,ETS,qwen,maryland,P2,1457248422,1,[2]
