n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
50,3.2432432432432434,89.07103825136612,183,185,LOCNESS,qwen,openai,1067841243,1,[5]
200,3.783783783783784,90.7103825136612,183,185,LOCNESS,qwen,openai,1067841243,1,[5]
30,8.108108108108109,96.62921348314607,178,185,LOCNESS,qwen,openai,959183449,1,[6]
50,8.108108108108109,96.62921348314607,178,185,LOCNESS,qwen,openai,959183449,1,[6]
200,6.486486486486487,96.06741573033707,178,185,LOCNESS,qwen,openai,959183449,1,[6]
30,3.2432432432432434,91.12426035502959,169,185,LOCNESS,qwen,openai,1457248422,1,[6]
50,4.864864864864865,93.49112426035504,169,185,LOCNESS,qwen,openai,1457248422,1,[6]
200,7.567567567567568,95.26627218934911,169,185,LOCNESS,qwen,openai,1457248422,1,[6]
30,2.7027027027027026,87.42857142857143,175,185,LOCNESS,qwen,openai,642571064,1,[6]
50,2.7027027027027026,88.0,175,185,LOCNESS,qwen,openai,642571064,1,[6]
200,5.9459459459459465,93.14285714285714,175,185,LOCNESS,qwen,openai,642571064,1,[6]
30,1.6216216216216217,86.93181818181817,176,185,LOCNESS,qwen,openai,3609844797,1,[6]
50,2.1621621621621623,86.93181818181817,176,185,LOCNESS,qwen,openai,3609844797,1,[6]
200,3.2432432432432434,92.04545454545455,176,185,LOCNESS,qwen,openai,3609844797,1,[6]
30,2.1621621621621623,87.70949720670392,179,185,LOCNESS,qwen,openai,1067841243,1,[6]
50,3.2432432432432434,91.62011173184358,179,185,LOCNESS,qwen,openai,1067841243,1,[6]
200,3.783783783783784,92.17877094972067,179,185,LOCNESS,qwen,openai,1067841243,1,[6]
30,8.108108108108109,100.0,185,185,LOCNESS,qwen,openai,959183449,1,[7]
50,8.108108108108109,100.0,185,185,LOCNESS,qwen,openai,959183449,1,[7]
200,6.486486486486487,100.0,185,185,LOCNESS,qwen,openai,959183449,1,[7]
30,3.2432432432432434,100.0,185,185,LOCNESS,qwen,openai,1457248422,1,[7]
50,4.864864864864865,100.0,185,185,LOCNESS,qwen,openai,1457248422,1,[7]
200,7.567567567567568,100.0,185,185,LOCNESS,qwen,openai,1457248422,1,[7]
30,2.7027027027027026,99.45945945945947,185,185,LOCNESS,qwen,openai,642571064,1,[7]
50,2.7027027027027026,100.0,185,185,LOCNESS,qwen,openai,642571064,1,[7]
200,5.9459459459459465,100.0,185,185,LOCNESS,qwen,openai,642571064,1,[7]
30,1.6216216216216217,100.0,185,185,LOCNESS,qwen,openai,3609844797,1,[7]
50,2.1621621621621623,100.0,185,185,LOCNESS,qwen,openai,3609844797,1,[7]
200,3.2432432432432434,100.0,185,185,LOCNESS,qwen,openai,3609844797,1,[7]
30,2.1621621621621623,100.0,185,185,LOCNESS,qwen,openai,1067841243,1,[7]
50,3.2432432432432434,100.0,185,185,LOCNESS,qwen,openai,1067841243,1,[7]
200,3.783783783783784,100.0,185,185,LOCNESS,qwen,openai,1067841243,1,[7]
30,1.0810810810810811,48.07692307692308,52,185,LOCNESS,qwen,openai,959183449,2,[3]
50,11.351351351351353,80.76923076923077,52,185,LOCNESS,qwen,openai,959183449,2,[3]
200,5.405405405405405,67.3076923076923,52,185,LOCNESS,qwen,openai,959183449,2,[3]
